Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC003.nii,17575.4,862.4,13086.6,45998.7,6240.3,2914.2,4685.8,1899.4,2044.9,1647.1,17924.8,3562.4,1638.0,1193.7,418.5,3721.1,40.6,834.7,15109.5,749.1,12140.4,47337.6,6300.2,3037.0,4738.4,1861.4,3664.1,1884.9,511.3,3561.9,25.4,743.1,0.0,1145.1,0.0,0.0,0.0,0.0,0.0,171.2,1130.9,468.0,447.6,423.2,795.0,1000106.0,959823.0,189739.823955,193489.938792,383229.762747,204631.5,203012.5,407644.0,52347.0,529151.762747,882639.0,842356.0,1555393.0,0.720935,1.121218,5.0,10.0,15.0,1387235.484016
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC010.nii,8493.8,256.9,14978.9,59650.8,7539.6,3936.4,4373.5,2011.3,936.4,2005.6,20128.0,4184.5,1630.9,1114.6,701.6,3994.9,52.6,517.1,7569.3,119.6,14505.3,59472.5,7804.6,4241.4,4236.5,1912.8,4571.4,1796.1,575.8,3810.0,71.4,447.4,3.4,584.5,0.0,0.0,0.0,0.0,0.0,178.3,1057.5,571.6,482.2,552.1,1145.3,1105532.0,1084546.0,227841.837008,226632.022561,454473.859569,212742.5,211653.5,424396.0,58775.0,633046.859569,957509.0,936523.0,5104150.0,0.778075,3.592307,16.0,13.0,29.0,1420855.791141
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC015.nii,16159.7,205.5,13744.2,52096.7,7088.5,3356.9,4295.0,1811.2,1291.4,2147.9,19127.0,3511.5,1748.2,1009.5,567.3,3817.1,52.8,598.8,10250.6,234.8,12008.1,54287.3,7111.7,3336.6,4264.5,1697.2,3916.7,1847.7,608.3,3837.9,56.0,658.0,0.0,710.9,0.0,0.0,0.0,0.0,0.0,141.2,971.4,468.6,371.9,413.4,959.0,1070249.0,1038110.0,228889.336582,228306.689849,457196.026431,199803.5,197306.5,397110.0,54418.0,617506.026431,939846.0,907707.0,1490526.0,0.984788,1.371506,8.0,14.0,22.0,1086780.706632
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC019.nii,9177.0,327.4,14843.0,48713.0,6495.4,3824.2,4411.7,1908.9,1637.9,2971.4,21343.9,4003.1,1765.2,951.4,520.6,3848.3,19.6,644.4,8965.0,276.4,14526.9,49004.8,6446.7,3822.7,4555.4,1877.0,4158.9,1925.9,575.2,3708.1,8.7,535.2,0.0,894.7,0.0,0.0,0.0,0.0,0.0,85.4,939.9,421.1,352.8,494.8,639.1,1069942.0,1044946.0,236195.06264,231205.645291,467400.707931,200482.0,197413.0,397895.0,54834.0,620212.707931,944105.0,919109.0,1557242.0,0.742181,1.080204,5.0,15.0,20.0,1441618.629447
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC024.nii,8609.6,366.2,15465.1,51971.8,7887.1,4168.0,5656.4,2215.9,952.1,2459.4,20754.6,4346.1,1923.5,1268.7,519.8,4009.1,55.3,538.1,7191.8,289.0,13787.9,53921.8,7879.1,4160.4,5862.2,2206.9,4561.4,2157.6,732.0,3910.1,40.7,476.9,0.0,676.9,0.0,0.0,0.0,0.0,0.0,95.5,683.6,355.1,325.4,317.0,747.4,1151662.0,1129926.0,252611.664383,249095.47272,501707.137104,213025.0,218146.0,431171.0,63879.0,672060.137104,1017039.0,995303.0,1596521.0,0.776174,1.075991,15.0,14.0,29.0,1483768.430114
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC028.nii,3305.7,155.8,13234.5,46195.3,7292.3,3320.8,4824.6,1854.0,693.3,1269.5,18834.5,3960.9,1746.5,911.2,509.1,3515.5,11.6,249.5,2916.8,262.2,12487.8,46058.7,6871.2,3477.7,4902.4,1923.4,4287.0,2034.9,520.2,3485.0,4.0,250.6,0.0,439.7,0.0,0.0,0.0,0.0,0.0,38.4,830.5,387.2,625.0,609.0,810.5,1049745.0,1040470.0,238659.5585,239441.495365,478101.053865,196196.0,194630.0,390826.0,55781.0,625973.053865,932810.0,923535.0,3492510.0,0.768245,2.555957,25.0,22.0,47.0,1366419.840223
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC029.nii,10301.5,331.5,14183.0,49953.4,7683.5,3766.7,4729.9,2028.6,1780.9,1643.8,20608.6,5048.1,2121.9,1290.8,627.6,4155.2,22.4,624.3,8176.7,531.5,13455.0,52805.3,7446.1,3916.8,4696.4,1981.8,5361.0,2541.9,669.8,4223.7,12.9,588.4,0.0,582.4,0.0,0.0,0.0,0.0,0.0,93.7,1096.6,544.5,659.9,664.6,908.3,1281042.0,1256194.0,255296.325083,257619.310282,512915.635364,273096.0,277123.0,550219.0,62699.0,680191.635364,1149572.0,1124724.0,4522156.0,0.762106,2.690282,12.0,8.0,20.0,1680922.599669
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC031.nii,26020.4,456.7,20873.6,53229.9,8088.6,3122.6,5546.0,2237.9,1533.7,1495.8,23482.4,4051.3,1665.2,1228.7,632.0,4746.5,49.0,822.4,13135.2,414.1,18071.7,55225.1,8135.0,3504.5,5904.1,2113.1,4578.5,2062.6,650.6,4665.2,48.6,645.2,0.0,1021.2,0.0,0.0,0.0,0.0,0.0,106.1,1029.2,554.6,495.0,448.0,949.4,1236620.0,1191263.0,237540.449971,239993.664928,477534.114899,253985.5,250612.5,504598.0,63520.0,649524.114899,1090270.0,1044913.0,1789491.0,0.77487,1.121301,9.0,11.0,20.0,1595905.890421
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC034.nii,9721.2,105.7,16285.0,47051.9,7521.0,3322.0,3805.1,1868.4,946.5,1499.3,20914.7,3852.5,1649.0,1058.4,551.6,3854.3,21.3,430.0,5496.6,205.2,14525.1,47599.9,7314.7,3407.1,3913.5,1813.7,4042.9,1848.0,543.2,3863.6,9.1,327.3,0.0,823.7,0.0,0.0,0.0,0.0,0.0,156.0,899.3,436.0,486.4,488.3,832.7,1113906.0,1094802.0,217458.615026,220745.14853,438203.763556,242255.5,235859.5,478115.0,54971.0,588787.763556,988758.0,969654.0,1653609.0,0.964378,1.431633,12.0,15.0,27.0,1155051.028134
/work/harris_lab/roberto/freesurfer-results/freesurfer01/B_HC037.nii,5121.9,355.0,11486.3,43081.9,7806.5,3264.6,4301.7,1899.3,952.3,1374.8,18686.1,4075.6,1536.9,913.6,576.3,3931.7,37.9,310.1,5563.5,828.1,11837.0,44389.7,7585.0,3086.4,4475.3,1878.7,4316.1,1522.5,487.1,3846.9,33.7,433.0,0.0,397.1,0.0,0.0,0.0,0.0,0.0,62.5,650.3,346.0,371.9,408.5,650.8,988014.0,972797.0,212359.086636,211380.458852,423739.545488,192272.0,192347.0,384619.0,55943.0,567132.545488,878183.0,862966.0,1428680.0,0.783193,1.132506,5.0,5.0,10.0,1261520.562246
